,Class,225516_at,207626_s_at,229603_at,217740_x_at,224930_x_at,214521_at,216674_at,231928_at,213377_x_at,200088_x_at,214271_x_at,200809_x_at,228100_at,200819_s_at,216364_s_at,210957_s_at,206105_at,202575_at,222670_s_at,218559_s_at
X60120,0,10.30339,3.0749,6.77791,13.958260000000001,13.82996,3.70068,3.3518199999999996,6.50176,13.774770000000002,14.01759,13.29287,13.99274,8.97691,13.5379,3.8399400000000004,3.71659,3.75759,8.05904,6.936039999999999,7.424739999999999
X32117,0,11.367519999999999,3.4847900000000003,6.60045,13.94265,13.909220000000001,3.9045300000000003,3.9906599999999997,7.45498,13.745870000000002,14.09164,13.3158,13.98824,10.413310000000001,13.67675,4.20824,4.68957,4.78338,7.1048800000000005,6.588989999999999,6.7217
X23066,0,10.788960000000001,3.68729,6.70489,13.887189999999999,13.69561,4.25088,4.003430000000001,6.79967,13.7549,14.008239999999999,13.31076,13.96548,8.9431,13.6275,4.30789,4.155959999999999,4.254230000000001,8.51084,7.02308,7.57005
X60267,0,10.41804,3.65765,6.642810000000001,14.05802,14.041839999999999,3.81178,3.39379,5.98355,13.940829999999998,14.032520000000002,13.305220000000002,13.96976,7.88355,13.5501,4.10243,3.87227,3.93859,8.84757,7.44775,7.770010000000001
X51174,0,11.025310000000001,3.20778,7.05968,13.81551,13.63401,4.03265,3.5904300000000005,7.50058,13.69391,13.84547,13.140970000000001,13.746429999999998,10.56532,13.43131,4.21209,3.6936,4.20139,7.62805,7.82268,8.6069
X51068,0,10.30879,3.03786,6.7938,13.866620000000001,13.72156,3.91565,3.5276300000000003,7.5892100000000005,13.70611,13.91881,13.247810000000001,13.9149,10.271289999999999,13.451379999999999,4.32873,3.7793300000000003,4.47748,8.058010000000001,7.20378,7.750539999999999
X23177,0,8.660680000000001,3.0952,6.79283,13.982970000000002,13.838370000000001,4.06746,4.18159,7.860180000000001,13.685620000000002,13.98427,13.236989999999999,13.944729999999998,11.041080000000001,13.60956,4.63058,3.7540699999999996,4.06859,9.65625,7.70405,8.83802
X23052,0,11.482330000000001,3.3034,6.641769999999999,13.856589999999999,13.675460000000001,4.3152800000000004,3.50198,7.64015,13.75716,13.940729999999999,13.279160000000001,13.902479999999999,9.96307,13.66102,3.90961,3.96878,3.9597300000000004,6.18521,7.66188,8.49063
X60170,0,11.98409,3.47776,6.8689800000000005,14.07526,13.98344,3.75755,3.47986,6.90477,13.76208,14.008239999999999,13.34769,14.00976,9.73738,13.668970000000002,3.8136300000000003,3.79586,3.61026,9.847610000000001,6.775469999999999,7.15579
X70070,0,11.14942,3.27168,6.91978,13.93426,13.74588,4.03471,3.9190699999999996,7.01727,13.7105,13.997539999999999,13.270220000000002,13.92404,10.20732,13.570120000000001,4.0689400000000004,4.02732,4.98455,8.398719999999999,6.74356,7.0502199999999995
X44262,0,11.44856,3.6487199999999995,7.5639,13.95015,13.76796,3.5963300000000005,3.67305,7.683260000000001,13.67728,14.01096,13.30267,13.896279999999999,9.71113,13.52824,3.9015199999999997,3.68765,4.87739,7.8863199999999996,7.18588,7.948689999999999
X22027,0,11.70725,4.4031400000000005,6.8668,13.8191,13.63894,3.95476,4.077030000000001,8.22949,13.61186,13.82346,13.098410000000001,13.797139999999999,10.11989,13.445279999999999,4.11404,4.35272,4.37726,6.66821,7.04155,7.682910000000001
X70057,0,9.401639999999999,3.4704699999999997,5.4756599999999995,13.80255,13.59555,3.46335,3.4704699999999997,5.96435,13.71235,13.91492,13.176960000000001,13.963629999999998,8.04353,13.607829999999998,4.02118,3.71276,3.7772300000000003,8.359919999999999,6.86733,7.85452
X23036,0,11.31177,3.29589,6.68997,13.88926,13.7521,3.9778,3.3595300000000003,6.97819,13.765239999999999,14.004529999999999,13.276689999999999,13.8898,8.916139999999999,13.51341,4.21901,3.7450099999999997,5.73285,7.552810000000001,7.7542800000000005,8.07039
X22002,0,11.8115,3.63059,6.78131,13.85738,13.68655,3.8590699999999996,3.5693300000000003,7.24182,13.77382,13.887570000000002,13.108770000000002,13.80826,7.698689999999999,13.564929999999999,3.9083099999999997,3.8775,4.20561,6.6780100000000004,7.476039999999999,7.95057
X70144,0,11.742519999999999,3.5568,6.06051,14.0151,13.92637,4.50157,3.568,7.4236,13.93645,14.07294,13.33025,14.05122,6.53086,13.625739999999999,4.21674,3.95516,4.52336,7.1398600000000005,7.530060000000001,8.25022
X70056,0,10.73713,3.4079900000000003,7.0472600000000005,13.91361,13.84407,4.33729,3.98624,7.53495,13.64884,14.03224,13.29636,13.97047,9.69967,13.70444,3.9512199999999997,3.7291800000000004,3.7280300000000004,7.21267,6.80883,7.6300300000000005
X70055,0,10.80627,3.4086800000000004,7.22732,13.99575,13.83451,3.5522099999999996,3.43485,6.748310000000001,13.84609,14.005279999999999,13.30889,13.944729999999998,10.22887,13.58095,4.05333,3.9020900000000003,3.97988,7.5285,7.43438,7.953710000000001
X95014,1,5.90455,3.31285,5.16219,13.79415,13.54551,3.67153,3.57745,6.09502,13.66345,13.53204,12.85703,13.47836,7.004510000000001,13.44355,4.15567,4.00235,4.70376,10.43887,7.93542,8.52225
X95002,1,9.553289999999999,4.11397,7.599810000000001,14.08215,13.96601,4.30701,3.3433900000000003,6.38211,13.81395,14.140579999999998,13.350389999999999,14.063979999999999,8.55991,13.82046,4.33908,4.1988199999999996,4.3211,7.1245899999999995,7.669860000000001,8.719
X94099,1,11.53702,5.4386,7.1171,13.993039999999999,13.89928,4.51746,4.572,7.715339999999999,13.6972,14.10624,13.278920000000001,14.05235,9.62464,13.811639999999999,4.33483,4.53693,4.27924,7.45028,7.502730000000001,7.99032
X94093,1,9.28815,3.08167,4.57067,13.47064,13.262260000000001,3.7592800000000004,3.5615300000000003,6.349819999999999,13.85774,13.74974,13.167829999999999,13.716270000000002,6.39369,13.33779,4.21149,4.02885,4.59319,10.70449,8.5864,9.53598
X94084,1,7.50776,3.40193,4.60392,13.485529999999999,13.186179999999998,3.96308,3.4571300000000003,5.77872,13.148420000000002,13.212729999999999,12.51234,13.1711,7.6677100000000005,13.213070000000002,4.25409,3.8516199999999996,4.07108,9.859010000000001,8.456610000000001,9.230360000000001
X94082,1,7.049239999999999,3.23906,6.2371,13.51711,13.311379999999998,3.85512,3.6656199999999997,5.716469999999999,13.445229999999999,13.549170000000002,12.82258,13.46164,6.93669,13.41066,4.1167,3.8560199999999996,3.79536,12.20093,9.00705,10.2046
X94070,1,7.77013,3.6639800000000005,5.01652,13.310720000000002,13.11682,4.21542,3.7033400000000003,6.79092,13.42208,12.8536,12.10788,12.773769999999999,7.98543,12.96458,4.52203,3.81299,3.9177400000000002,10.70331,8.04033,8.951189999999999
X94067,1,4.96481,3.19042,5.05272,13.39364,13.10796,3.8025,3.47665,6.05082,13.13544,14.11811,13.317860000000001,14.054979999999999,6.0675,12.80903,3.8940599999999996,4.14825,3.83543,9.01865,9.68549,10.99231
X94056,1,5.500719999999999,3.312,5.37389,12.95354,12.654160000000001,3.61796,3.29555,5.65493,13.53072,13.384889999999999,12.61525,13.21541,6.19607,13.02104,3.8586199999999997,3.59125,3.81891,9.18683,9.94983,10.43248
X94044,1,7.6791100000000005,3.6252,4.77524,13.649870000000002,13.447560000000001,3.7717199999999997,3.38574,5.80131,13.03017,13.59564,12.90528,13.54103,7.102289999999999,13.31551,3.9594699999999996,3.70738,3.86751,8.66685,9.03407,10.17656
X94025,1,5.261480000000001,3.09004,5.53756,13.637770000000002,13.421779999999998,3.70362,3.5955,6.39799,13.56625,13.648270000000002,12.92411,13.53699,8.318439999999999,13.12994,4.00809,3.82458,4.0355300000000005,10.786769999999999,9.32209,10.13302
X94019,1,8.98177,3.6377800000000002,4.76631,13.587679999999999,13.336570000000002,4.54524,3.8413800000000005,6.75873,12.95022,13.603010000000001,13.053189999999999,13.5686,5.7883,13.35229,4.3819,4.0623,4.07121,11.49898,9.207360000000001,10.39224
X93075,1,5.530130000000001,3.0280400000000003,4.34014,12.60799,12.14432,3.9412199999999995,3.4127199999999998,6.24217,13.73439,13.244570000000001,12.5024,13.07324,6.403230000000001,12.47423,4.01389,3.97554,4.19484,11.18464,6.8686300000000005,7.62719
X93050,1,8.183119999999999,3.2347799999999998,4.769080000000001,13.759960000000001,13.56158,4.192480000000001,3.5859099999999997,6.16594,12.99491,13.60186,12.90048,13.520520000000001,5.8078,13.4213,4.40132,3.96325,3.69179,11.80533,9.462480000000001,10.4261
X93031,1,8.32762,3.44009,5.10698,13.7142,13.48952,4.09627,3.79817,6.3891599999999995,13.53444,13.86565,13.16675,13.76029,5.97449,13.396279999999999,4.392519999999999,4.20545,4.136080000000001,10.10004,8.53688,9.195960000000001
X93006,1,6.1536599999999995,3.22434,5.25309,13.8975,13.70519,3.44081,3.1684099999999997,5.76457,12.87838,13.15119,12.39282,13.08637,6.5411,13.53999,4.01208,3.5677199999999996,3.81932,10.06102,9.04188,10.21433
X92074,1,6.760560000000001,3.07309,5.16782,13.4672,13.18724,3.8717099999999998,3.7664,5.804119999999999,13.731229999999998,13.73691,12.979519999999999,13.604579999999999,6.09592,13.32175,4.19775,3.76689,3.9431300000000005,9.97846,9.66405,10.844439999999999
X92071,1,9.5915,3.5430599999999997,5.16697,13.64935,13.467789999999999,3.65645,3.5034099999999997,5.86981,13.340779999999999,13.81502,13.12514,13.805220000000002,7.2161,13.57364,3.9492,3.8140400000000003,3.64468,10.520010000000001,9.24821,10.29836
X92065,1,5.96152,3.27244,5.81749,12.93812,12.61502,3.7604599999999997,3.7806599999999997,5.85095,13.20565,12.96326,12.38748,12.84127,6.657139999999999,13.370429999999999,3.6448099999999997,3.8185599999999997,4.08164,12.8498,10.6228,12.00773
X92004,1,8.76453,4.091080000000001,4.65444,13.03477,12.70876,3.72265,3.4306699999999997,5.87371,13.22766,13.52786,12.83111,13.48141,4.92584,13.2301,4.08599,3.7653199999999996,3.6015800000000002,10.61524,9.837489999999999,11.03769
X92003,1,8.06508,2.97471,5.32723,13.62318,13.39595,3.76626,3.35339,6.18007,13.53151,13.453129999999998,12.692680000000001,13.34123,7.34877,13.54129,4.243,3.5997800000000004,3.86695,10.686119999999999,8.86532,9.85087
X86058,1,6.49523,3.4492199999999995,4.63736,13.814789999999999,13.679789999999999,4.13151,3.5674699999999997,6.58047,13.29145,13.894829999999999,13.26019,13.870079999999998,5.17276,13.48119,3.93185,3.92723,3.6000900000000002,10.7563,9.556939999999999,10.30472
X70148,1,5.42161,2.95907,5.84096,13.79902,13.64538,3.8917800000000002,3.68751,6.55668,13.152439999999999,13.48412,12.8229,13.41429,8.27045,13.6992,4.14762,3.56786,3.7134699999999996,10.3442,8.687489999999999,9.732289999999999
X70135,1,7.46457,3.5667400000000002,5.2967900000000006,14.09255,13.91799,3.73291,3.25778,5.99083,13.40441,13.82117,13.0755,13.70116,7.48913,13.34655,3.8422,3.7736099999999997,4.46199,10.33888,8.66527,9.61374
X70125,1,6.53129,3.10268,5.16717,13.40065,13.16397,3.58313,3.4295,6.0149,13.40579,13.119779999999999,12.39373,13.01235,5.58577,12.87763,4.21851,3.7507900000000003,3.9523,10.02322,9.50667,10.28391
X70124,1,6.02435,3.11427,4.893009999999999,13.45285,13.294839999999999,3.98979,3.242,6.275,13.775329999999999,13.479000000000001,12.58773,13.40107,5.56885,13.2342,4.34877,3.6154699999999997,4.17285,11.06995,9.13217,10.063939999999999
X70123,1,5.17249,3.36679,4.790780000000001,13.67706,13.58891,3.4960000000000004,3.45539,5.76425,13.72984,13.71205,13.0113,13.637839999999999,6.40559,13.40705,3.7423900000000003,3.8228400000000002,3.79299,9.046289999999999,8.94529,9.60105
X70119,1,8.42445,3.4539199999999997,5.20578,13.252320000000001,13.06594,3.5851699999999997,3.43833,5.90873,13.48903,13.305320000000002,12.50268,13.244000000000002,5.76816,13.12742,4.04044,3.6646300000000003,4.08739,11.21145,9.32714,10.08942
X70118,1,5.028919999999999,3.18201,4.95214,13.599260000000001,13.38445,3.7312199999999995,3.48878,6.21022,13.566410000000001,13.79941,12.9979,13.70094,6.34616,13.91705,3.9166300000000005,4.1352199999999995,3.67575,9.98967,8.66805,9.58879
X70115,1,8.29572,3.1792700000000003,6.79295,13.53972,13.34498,3.68247,3.56972,6.09877,13.6173,13.61406,12.87546,13.52641,5.95104,13.433689999999999,3.68125,3.91244,3.8730800000000003,11.05741,9.12761,10.06666
X70107,1,6.981489999999999,3.25645,4.9326,13.44031,13.24195,3.49798,3.2784199999999997,6.290719999999999,13.00169,13.353729999999999,12.46759,13.18251,5.27693,12.97983,3.85189,3.7795900000000002,3.84654,10.58789,9.087710000000001,10.37239
X70103,1,6.52261,3.15774,4.826309999999999,13.34574,13.12315,3.5185199999999996,3.4427300000000005,6.72415,13.538870000000001,13.362820000000001,12.6103,13.248520000000001,6.63243,13.135810000000001,3.82176,3.92341,3.52021,8.69979,9.50606,10.34683
X70102,1,8.479560000000001,2.95464,6.02671,13.20364,12.85068,3.2838199999999995,3.3151599999999997,6.02926,13.53946,13.343470000000002,12.59512,13.246889999999999,6.09065,13.12103,4.21612,3.64046,4.18931,8.48498,9.80062,11.16505
X70100,1,8.34978,3.1657599999999997,4.85555,12.7075,12.27203,3.65023,3.87131,6.2009300000000005,13.20393,13.26945,12.60415,13.20161,6.20895,12.69593,4.101369999999999,4.18061,3.71319,12.1855,8.7935,9.56166
X70088,1,7.0728,3.2153,4.270919999999999,13.382179999999998,13.09464,4.03946,3.7860199999999997,6.27913,13.61405,13.57375,12.81665,13.532929999999999,6.47454,13.34092,4.16819,3.9756400000000003,3.7876800000000004,9.80584,7.462210000000001,8.050989999999999
X70086,1,8.41882,3.3353800000000002,5.42209,13.410779999999999,13.15148,3.58716,3.5341099999999996,5.8616,13.58428,13.59171,12.87308,13.530079999999998,5.63917,13.49354,3.8214300000000003,3.7663800000000003,3.79673,9.6301,8.64747,9.42022
X70077,1,7.28285,3.21092,4.99024,13.54646,13.38649,3.6903099999999998,3.64775,6.54049,13.68472,13.73811,13.0064,13.68402,6.3473,13.64095,4.33179,3.94496,3.99643,9.30824,9.8529,11.27625
X70054,1,7.661010000000001,3.15299,5.92769,13.52556,13.32434,3.52127,3.6177300000000003,6.34697,13.498879999999998,13.3728,12.67075,13.295110000000001,5.91284,13.460460000000001,4.06122,3.9538300000000004,3.9306699999999997,10.70545,6.86782,7.727130000000001
X70049,1,8.00413,3.69463,3.83587,13.55378,13.41054,4.11139,3.96794,6.20472,13.53335,13.9442,13.36535,13.985029999999998,5.2960199999999995,13.536320000000002,4.83878,3.91235,4.00552,10.5636,7.406000000000001,8.5763
X70048,1,6.935289999999999,3.3762800000000004,5.27385,13.553339999999999,13.420729999999999,3.9543699999999995,3.79451,6.26653,13.68941,13.806029999999998,12.98732,13.69645,6.13744,13.511479999999999,4.2100800000000005,3.9866099999999998,4.07883,9.95071,9.277289999999999,9.82204
X70045,1,6.27379,3.3635699999999997,4.7915,13.68479,13.45081,4.152,3.8459,6.42491,12.829369999999999,13.60278,12.85153,13.559289999999999,8.331439999999999,13.25557,4.36569,3.9581699999999995,3.90214,8.52011,8.63446,9.732439999999999
X70039,1,5.25709,3.01951,5.0601199999999995,13.16218,12.729339999999999,3.6018199999999996,3.25923,6.12244,13.51389,13.170179999999998,12.33425,13.0096,7.61953,13.10101,4.06792,3.83121,4.31187,8.12921,7.92415,9.02772
X70005,1,7.91909,3.33931,5.38464,13.92653,13.722920000000002,3.84859,3.50544,5.99075,14.08218,13.66116,12.97292,13.62035,8.04823,13.1953,4.2359800000000005,4.24035,3.9626699999999997,11.84005,8.162560000000001,9.086910000000001
X70003,1,6.79024,3.34383,5.28482,13.58336,13.37212,3.73881,3.39649,5.99138,13.8205,13.64661,12.9315,13.585220000000001,8.307889999999999,13.137429999999998,4.16858,4.162380000000001,4.68465,10.20134,7.87148,8.701889999999999
X60318,1,7.58385,3.0978,5.51674,13.78858,13.51935,4.09475,3.36226,5.81133,13.28475,13.387329999999999,12.650839999999999,13.3148,9.25558,12.978660000000001,4.290830000000001,4.26369,3.7587599999999997,11.244010000000001,8.63615,9.46602
X60258,1,9.153039999999999,3.27218,5.97104,13.14885,12.735389999999999,3.7996,3.42584,6.63753,13.30202,13.140889999999999,12.61223,13.07189,7.90233,12.74623,4.149830000000001,4.1014800000000005,3.94571,11.22725,8.4139,9.12478
X60228,1,6.26513,3.28065,6.07346,14.00695,13.98905,3.56315,3.6291,6.52407,13.3922,13.95164,13.21996,13.848820000000002,9.90202,13.65714,4.1794400000000005,4.073230000000001,4.43473,10.07483,6.69112,6.93012
X60214,1,10.823080000000001,3.4166,4.9694400000000005,13.606810000000001,13.423470000000002,3.86524,3.44245,7.07707,13.837639999999999,13.43344,12.66948,13.2819,6.20943,13.3861,3.91584,3.66474,3.69242,11.22107,9.44104,10.40584
X60211,1,5.396380000000001,3.32303,4.348330000000001,13.27271,13.02068,3.6984,3.72296,6.30866,13.45188,13.852260000000001,13.191070000000002,13.81533,7.75145,13.440879999999998,3.86697,3.7051800000000004,3.85386,10.60351,8.7896,9.45985
X60188,1,6.0479400000000005,3.16982,5.10593,13.137889999999999,12.7431,3.7696,3.5594900000000003,5.97789,13.537720000000002,13.4205,12.69082,13.2683,6.100969999999999,12.85176,4.14114,4.08322,4.10038,10.45049,9.88219,10.75997
X60181,1,11.433710000000001,3.9224699999999997,5.65881,13.46277,13.242189999999999,3.74375,3.4373099999999996,6.01396,13.76382,13.506960000000001,12.84457,13.4576,5.1765099999999995,13.60449,4.09356,3.7646300000000004,3.6447599999999998,8.09372,8.10847,9.01604
X60180,1,8.73189,3.26898,6.570819999999999,13.69619,13.4791,3.23494,3.4301199999999996,5.83355,13.810170000000001,13.984060000000001,13.27299,13.903170000000001,7.33581,13.655320000000001,3.8388,3.57186,3.4276800000000005,9.10677,7.8064800000000005,8.913889999999999
X60175,1,10.11537,3.7436599999999998,6.12629,13.98604,14.019620000000002,3.6720099999999998,3.51631,5.64192,13.81889,13.97761,13.4383,14.00182,7.87109,13.982170000000002,4.05028,4.03295,3.79244,9.513580000000001,6.44143,6.76265
X60174,1,6.13272,3.4605599999999996,4.36301,13.67285,13.59666,3.7374099999999997,3.5181199999999997,5.81766,13.677760000000001,13.6886,13.02755,13.63756,6.55422,14.0274,4.02435,3.7923,3.91695,8.47752,5.50239,6.6747
X60169,1,7.23682,3.29185,4.51823,13.74296,13.56915,3.50487,3.27278,5.8545300000000005,13.75484,13.90735,13.252720000000002,13.89088,6.1752,13.760879999999998,3.83541,3.75245,3.8574599999999997,8.25721,8.44474,9.32117
X60163,1,5.59279,3.18698,4.22159,13.829579999999998,13.6186,4.27269,4.9049,8.065380000000001,13.33866,13.837629999999999,13.19556,13.672020000000002,5.712330000000001,12.96551,3.9042,4.01698,3.9770800000000004,9.39804,7.763889999999999,8.44033
X60148,1,6.28759,3.27045,5.44066,13.86486,13.70488,4.24372,3.47856,6.14213,13.71628,13.879320000000002,13.1958,13.8191,5.881880000000001,13.57458,4.19393,3.6578199999999996,3.8774800000000003,7.30495,6.55495,7.5355300000000005
X60135,1,7.213010000000001,3.23368,3.4831800000000004,13.60265,13.37088,3.71412,3.48697,5.70638,13.5226,13.48841,12.72429,13.418779999999998,6.27586,13.958779999999999,4.26014,4.011830000000001,4.10875,9.49351,7.35217,8.22119
X60111,1,9.78326,3.4023,6.58905,13.83963,13.7293,3.83554,3.7830800000000004,6.830210000000001,13.66076,14.099110000000001,13.4397,14.09087,9.45354,13.63621,3.9857099999999996,4.0644,3.9039900000000003,8.43218,8.6274,9.59113
X60107,1,6.3828,3.3423199999999995,4.84028,14.03955,13.85149,4.07114,3.45851,6.03229,12.7233,13.588920000000002,12.965530000000001,13.599479999999998,5.85963,13.376729999999998,5.06239,3.81356,4.00139,11.449539999999999,8.22456,8.82124
X60102,1,7.60077,3.4312400000000003,5.602519999999999,13.4427,13.20094,3.99813,3.39897,6.52224,13.703870000000002,13.40145,12.64374,13.36765,8.78608,13.38861,4.33919,3.47664,3.66931,12.68557,7.08995,7.923889999999999
X60091,1,10.6646,3.5023800000000005,5.48806,13.564029999999999,13.3066,3.8607699999999996,3.4367,6.00352,13.08168,13.37181,12.64741,13.27007,5.13667,13.194410000000001,3.9241599999999996,3.72874,3.7646800000000002,11.51626,9.4969,10.334430000000001
X60090,1,7.530639999999999,3.23844,4.1493199999999995,13.98789,13.84976,4.05224,3.41644,6.7037,13.44246,13.823170000000001,13.116620000000001,13.762170000000001,5.89412,13.40821,4.00241,4.2742,4.00063,10.76558,8.45252,8.884960000000001
X60067,1,8.859860000000001,3.30706,5.0978699999999995,13.82054,13.61015,3.9142,3.3237400000000004,6.10289,13.630889999999999,13.754079999999998,13.09056,13.80219,5.722180000000001,13.38035,4.62361,3.87379,4.55159,10.50332,9.338510000000001,10.55161
X60066,1,5.8650199999999995,2.8227900000000004,6.48156,13.877189999999999,13.7439,3.88847,3.66005,5.95331,13.703029999999998,13.91456,13.23877,13.878879999999999,7.80881,13.296529999999999,4.18122,3.7489199999999996,3.8212599999999997,11.07714,8.44534,9.00705
X60065,1,5.61487,3.4020599999999996,6.059080000000001,13.29945,13.16554,4.28086,3.6255599999999997,6.51644,12.38931,12.76499,12.075439999999999,12.74349,9.97682,12.49644,4.34311,4.04959,5.00931,9.9887,8.26607,9.20696
X60049,1,8.03883,3.48389,6.07996,13.493360000000001,13.326429999999998,3.7286,3.1225400000000003,5.79968,13.3607,13.67048,12.97622,13.578579999999999,7.602760000000001,13.345320000000001,4.06784,3.7461599999999997,3.7338400000000003,9.84694,8.18092,9.051689999999999
X60048,1,7.527239999999999,3.1445,4.57951,13.848139999999999,13.65059,3.7016199999999997,3.10955,6.19249,12.94763,13.47892,12.68389,13.31182,6.143,13.4578,3.6120900000000002,3.73319,3.73969,10.845930000000001,8.56212,9.352260000000001
X60024,1,5.26952,3.2101,3.61708,13.493620000000002,13.13021,4.353330000000001,3.96955,7.860239999999999,13.06537,13.156320000000001,12.102219999999999,13.12575,7.085660000000001,12.89253,5.38451,3.63271,4.011830000000001,11.5663,7.61775,8.126610000000001
X60020,1,7.36665,3.32116,5.81993,13.566579999999998,13.31487,3.77104,3.3617,5.87589,13.44594,12.9158,12.17667,12.79697,7.86768,13.35121,3.75103,3.50693,3.6027199999999997,11.62405,8.7659,9.48826
X60016,1,6.1292800000000005,3.20744,4.0938300000000005,13.528260000000001,13.28844,4.0705,3.38636,6.17016,13.70682,13.6198,12.94933,13.59237,6.02007,13.29855,5.06096,3.9922800000000005,4.28368,10.73323,8.89886,10.23245
X582,1,7.583760000000001,3.239,5.2483,13.790189999999999,13.57988,3.81052,3.31316,6.1300300000000005,13.62659,13.668970000000002,12.95531,13.57557,5.31249,12.7897,3.76758,3.5093900000000002,3.88479,11.85598,9.10602,10.13712
X580,1,7.209239999999999,2.84575,5.83755,13.8282,13.58409,3.78557,3.4269199999999995,5.974480000000001,13.27176,13.632489999999999,13.020539999999999,13.531670000000002,7.41316,13.22824,3.72115,4.23915,3.9230699999999996,10.22233,9.033489999999999,9.81644
X575,1,8.90489,3.15801,4.404780000000001,13.33417,12.964319999999999,3.6509699999999996,3.47793,6.08406,13.439129999999999,13.622620000000001,12.939969999999999,13.55085,5.63925,13.214120000000001,3.8061300000000005,3.79146,4.02758,11.82964,9.551860000000001,10.4242
X574,1,7.91891,3.38901,3.8868,13.55025,13.313670000000002,3.8541800000000004,3.71461,6.903580000000001,13.4858,13.75835,12.96177,13.67084,6.44117,13.49364,4.2019400000000005,3.77671,3.88364,10.34798,8.67089,9.54047
X570,1,9.626489999999999,3.4684,4.5785800000000005,13.837639999999999,13.61849,4.0896,3.39365,6.7294,13.7157,13.757670000000001,13.07654,13.69864,6.18567,13.317329999999998,3.98124,3.86806,3.7848,10.39517,8.83922,10.006739999999999
